Pokémon, Type 1, Type 2
Ledyba,Bug,Flying
Ledian,Bug,Flying
Spinarak,Bug,Poison
Ariados,Bug,Poison
Chinchou,Water,Electric
Lanturn,Water,Electric
Pichu,Electric,
Cleffa,Fairy,
Igglybuff,Normal,Fairy
Togepi,Fairy,
Togetic,Fairy,Flying
Natu,Psychic,Flying
Xatu,Psychic,Flying
Mareep,Electric,
Flaaffy,Electric,
Ampharos,Electric,
Sudowoodo,Rock,
Politoed,Water,
Hoppip,Grass,Flying
Skiploom,Grass,Flying
Jumpluff,Grass,Flying
Aipom,Normal,
Sunkern,Grass,
Sunflora,Grass,
Yanma,Bug,Flying
Wooper,Water,Ground
Quagsire,Water,Ground
Espeon,Psychic,
Umbreon,Dark,
Murkrow,Dark,Flying
Slowking,Water,Psychic
Misdreavous,Ghost,
Unown,Psychic,
Wobbuffet,Psychic,
Girafarig,Normal,Psychic
Qwilfish,Water,Poison
Corsola,Water,Rock
Remoraid,Water,
Octillery,Water,
Delibird,Ice,Flying
Houndour,Dark,Fire
Houndoom,Dark,Fire
Kingdra,Water,Dragon
Donphan,Ground,
Porygon2,Normal,
Stantler,Normal,
Smeargle,Normal,
Tyrogue,Fighting,
Hitmontop,Fighting,
Hitmonlee,Fighting,
Hitmonchan,Fighting,
Lugia,Psychic,Flying
Ho-oh,Fire,Flying
Celebi,Psychic,Grass
Treecko,Grass,
Grovyle,Grass,
Sceptile,Grass,
Torchic,Fire,
Combusken,Fire,Fighting
Blaziken,Fire,Fighting
Mudkip,Water,
Marshtomp,Water,Ground
Swampert,Water,Ground
Poochyena,Dark,
Mightyena,Dark,
Zigzagoon,Normal,
Linoone,Normal,
Wurmple,Bug,
Silcoon,Bug,
Beautifly,Bug,Flying
Cascoon,Bug,
Dustox,Bug,Poison
Lotad,Water,Grass
Lombre,Water,Grass
Ludicolo,Water,Grass
Seedot,Grass,
Nuzleaf,Dark,Grass
Shiftry,Dark,Grass
Taillow,Flying,
Swellow,Flying,
Wingull,Water,Flying
Pelipper,Water,Flying
Ralts,Psychic,
Kirlia,Psychic,
Gardevoir,Psychic,Fairy
Surskit,Bug,Water
Masqurain,Bug,Flying
Shroomish,Grass,
Breloom,Fighting,Grass
Slakoth,Normal,
Vigoroth,Normal,
Slaking,Normal,
Nincada,Bug,Ground
Ninjask,Bug,Flying
Shedinja,Bug,Ghost
Whismur,Normal,
Loudred,Normal,
Exploud,Normal,
Makuhita,Fighting,
Hariyama,Fighting,
Azurill,Normal,Fairy
Nosepass,Rock,
Geodude,Rock,Ground
Graveler,Rock,Ground
Golem,Rock,Ground
Aron,Steel,Rock
Lairon,Steel,Rock
Aggron,Steel,Rock
Meditite,Fighting,Psychic
Meditite,Fighting,Psychic
Meditite,Fighting,Psychic
Swablu,Flying,Normal
Altaria,Flying,Normal
Ralts,Psychic,Fairy
Kirlia,Fairy,Ground
Gardevoir,Psychic,Fairy
Swablu,Flying,Normal
Altaria,Flying,Dragon
Zangoose,Normal,
Seviper,Poison,
Corphish,Water,
Crawdaunt,Water,Dark
Baltoy,Ground,Psychic
Claydol,Ground,Psychic
Lileep,Rock,Grass
Cradily,Rock,Grass
Anorith,Rock,Water
Armaldo,Rock,Water
Feebas,Water,
Milotic,Water,
Castform,Normal,
Kecleon,Normal,
Shuppet,Ghost,
Banette,Ghost,
Duskull,Ghost,
Dusclops,Ghost,
Tropius,Grass,Flying
Chimecho,Psychic,
Absol,Dark,
Wynaut,Psychic,
Snorunt,Ice,
Glalie,Ice,
Spinda,Normal,
Swalot,Poison,
Trapinch,Ground,
Vibrava,Ground,Dragon
Flygon,Ground,Dragon
Cacnea,Grass,
Cacturne,Grass,Dark
Swampert,Water,Ground
Registeel,Steel,
Regice,Ice,
Regirock,Rock,
Regigigas,Normal,
Kyogre,Water,
Groudon,Ground,
Rayquaza,Dragon,Flying
Deoxys,Psychic,
Deoxys (Attack),Psychic,
Deoxys (Defense),Psychic,
Deoxys (Speed),Psychic,
Turtwig,Grass,
Grotle,Grass,
Torterra,Grass,Ground
Chimchar,Fire,
Monferno,Fire,Fighting
Infernape,Fire,Fighting
Piplup,Water,
Prinplup,Water,
Empoleon,Water,Steel
Starly,Flying,Normal
Staravia,Flying,Normal
Staraptor,Flying,Normal
Bidoof,Normal,
Bibarel,Normal,Water
Kricketot,Bug,
Kricketune,Bug,
Shinx,Electric,
Luxio,Electric,
Luxray,Electric,
Budew,Grass,Poison
Roselia,Grass,Poison
Combee,Bug,Flying
Vespiquen,Bug,Flying
Pachirisu,Electric,
Magikarp,Water,
Gyarados,Water,Flying
Shinx,Electric,
Luxio,Electric,
Luxray,Electric,
Roselia,Poison,Grass
Cherubi,Grass,
Cherrim,Grass,
Drifloon,Ghost,Flying
Drifblim,Ghost,Flying
Murkrow,Dark,Flying
Honchkrow,Dark,Flying
Zubat,Poison,Flying
Golbat,Poison,Flying
Croagunk,Poison,Fighting
Toxicroak,Poison,Fighting
Carnivine,Grass,
Finneon,Water,
Lumineon,Water,
Shellos,Water,
Gastrodon,Water,Ground
Bronzor,Steel,Psychic
Bronzong,Steel,Psychic
Magnezone,Steel,Electric
Chimecho,Psychic,
Gastly,Ghost,Poison
Haunter,Ghost,Poison
Gengar,Ghost,Poison
Ponyta,Fire,
Rapidash,Fire,
Electrike,Electric,
Manectric,Electric,
Surskit,Bug,Water
Masquarin,Bug,Flying
Skitty,Normal,
Delcatty,Normal,
Trapinch,Ground,
Vibrava,Ground,Dragon
Flygon,Ground,Dragon
Corphish,Water,
Crawdaunt,Water,Dark
Swablu,Flying,Normal
Altaria,Flying,Dragon
Beldum,Steel,Psychic
Metang,Steel,Psychic
Metagross,Steel,Psychic
Registeel,Steel,
Gible,Dragon,Ground
Gabite,Dragon,Ground
Garchomp,Dragon,Ground
Dialga,Steel,Dragon
Palkia,Water,Dragon
Heatran,Fire,Steel
Cresselia,Psychic,
Manaphy,Water,
Darkrai,Dark,
Shaymin,Grass,
Arceus,Normal,
Victini,Fire,Psychic
Snivy,Grass,
Servine,Grass,
Serperior,Grass,
Tepig,Fire,
Pignite,Fire,Fighting
Emboar,Fire,Fighting
Oshawott,Water,
Dewott,Water,
Samurott,Water,
Patrat,Normal,
Watchog,Normal,
Lillipup,Normal,
Herdier,Normal,
Stoutland,Normal,
Purrloin,Dark,
Liepard,Dark,
Munna,Psychic,
Musharna,Psychic,
Pidove,Flying,Normal
Tranquill,Flying,Normal
Unfezant,Flying,Normal
Blitzle,Electric,
Zebstrika,Electric,
Roggenrola,Rock,
Boldore,Rock,
Gigalith,Rock,
Woobat,Flying,Psychic
Swoobat,Flying,Psychic
Drilbur,Ground,
Excadrill,Steel,Ground
Audino,Normal,
Tympole,Water,
Palpitoad,Water,Ground
Seismitoad,Water,Ground
Throh,Fighting,
Sawk,Fighting,
Sewaddle,Bug,Grass
Swadloon,Bug,Grass
Leavanny,Bug,Grass
Venipede,Bug,Poison
Whirlipede,Bug,Poison
Scolipede,Bug,Poison
Cottonee,Grass,Fairy
Whimsicott,Grass,Fairy
Petilil,Grass,
Lilligant,Grass,
Sandile,Ground,Dark
Krokorok,Ground,Dark
Krookodile,Ground,Dark
Darumaka,Fire,
Darmanitan,Fire,
Maractus,Grass,
Scraggy,Dark,Fighting
Scrafty,Dark,Fighting
Yamask,Ghost,
Cofagrigus,Ghost,
Tirtouga,Water,Rock
Carracosta,Water,Rock
Archen,Flying,Rock
Archeops,Flying,Rock
Trubbish,Poison,
Garbodor,Poison,
Zorua,Dark,
Zoroark,Dark,
Minccino,Normal,
Cinccino,Normal,
Gothita,Psychic,
Gothorita,Psychic,
Gothitelle,Psychic,
Solosis,Psychic,
Duosion,Psychic,
Reuniclus,Psychic,
Ducklett,Water,Flying
Swanna,Water,Flying
Vanillite,Ice,
Vanillish,Ice,
Vanilluxe,Ice,
Deerling,Normal,Grass
Sawsbuck,Normal,Grass
Emolga,Electric,Flying
Karrablast,Bug,
Escavalier,Bug,Steel
Foongus,Poison,Grass
Amoonguss,Poison,Grass
Frillish,Water,Ghost
Jellicent,Water,Ghost
Alomomola,Water,
Joltik,Electric,Bug
Galvantula,Electric,Bug
Ferroseed,Steel,Grass
Ferrothorn,Steel,Grass
Clink,Steel,
Clinklang,Steel,
Tynamo,Electric,
Eelektrik,Electric,
Eelektross,Electric,
Litwick,Ghost,Fire
Lampent,Ghost,Fire
Chandelure,Ghost,Fire
Axew,Dragon,
Fraxure,Dragon,
Haxorus,Dragon,
Shelmet,Bug,
Accelgor,Bug,
Mienfoo,Fighting,
Mienshao,Fighting,
Druddigon,Dragon,
Golett,Ground,Ghost
Golurk,Ground,Ghost
Larvesta,Bug,Fire
Volcarona,Bug,Fire
Reshiram,Dragon,Fire
Zekrom,Dragon,Electric
Landorus,Ground,Flying
Kyurem,Dragon,Ice
Genesect,Bug,Steel
Chespin,Grass,
Quilladin,Grass,
Chestnaught,Grass,Fighting
Fennekin,Fire,
Braixen,Fire,
Delphox,Fire,Psychic
Froakie,Water,
Frogadier,Water,
Greninja,Water,Dark
Bunnelby,Normal,
Diggersby,Normal,Ground
Fletchinder,Flying,Fire
Talonflame,Flying,Fire
Scatterbug,Bug,
Spewpa,Bug,
Vivillon,Bug,Flying
Litleo,Fire,Normal
Pyroar,Fire,Normal
Flabébé,Fairy,
Floette,Fairy,
Florges,Fairy,
Honedge,Steel,Ghost
Doublade,Steel,Ghost
Aegislash,Steel,Ghost
Spritzee,Fairy,
Aromatisse,Fairy,
Swirlix,Fairy,
Slurpuff,Fairy,
Inkay,Dark,Psychic
Malamar,Dark,Psychic
Binacle,Rock,Water
Barbaracle,Rock,Water
Skrelp,Poison,Water
Dragapult,Poison,Water
Clauncher,Water,
Clawitzer,Water,
Helioptile,Electric,Normal
Heliolisk,Electric,Normal
Tyrunt,Rock,Dragon
Tyrantrum,Rock,Dragon
Amaura,Rock,Ice
Aurorus,Rock,Ice
Goomy,Dragon,
Sliggoo,Dragon,
Goodra,Dragon,
Trevenant,Ghost,Grass
Phantump,Ghost,Grass
Pumpkaboo,Ghost,Fairy
Gourgeist,Ghost,Fairy
Noibat,Flying,Dragon
Noivern,Flying,Dragon
Xerneas,Fairy,
Yveltal,Dark,Flying
Zygarde,Dragon,Ground
Diancie,Rock,Fairy
Hoopa,Psychic,Ghost
Volcanion,Fire,Water
Rowlet,Grass,Flying
Dartrix,Grass,Flying
Decidueye,Grass,Ghost
Litten,Fire,
Torracat,Fire,
Incineroar,Fire,Dark
Popplio,Water,
Brionne,Water,
Primarina,Water,Fairy
Pikipek,Flying,Normal
Trumbeak,Flying,Normal
Toucannon,Flying,Normal
Yungoos,Normal,
Gumshoos,Normal,
Grubbin,Bug,
Charjabug,Bug,
Vikavolt,Bug,Electric
Crabrawler,Fighting,
Crabominable,Fighting,Ice
Oricorio,Flying,
Cutiefly,Fairy,Bug
Ribombee,Fairy,Bug
Rockruff,Rock,
Lycanroc,Rock,
Lycanroc (Midnight),Rock,
Lycanroc (Dusk),Rock,
Wishiwashi,Water,
Mareanie,Poison,Water
Toxapex,Poison,Water
Mudbray,Ground,
Mudsdale,Ground
Dewpider,Water,Bug
Araquanid,Water,Bug
Fomantis,Grass,
Lurantis,Grass
Morelull,Fairy,Bug
Shiinotic,Fairy,Bug
Salandit,Poison,Fire
Salamence,Poison,Fire
Bounsweet,Grass,
Steenee,Grass,
Tsareena,Grass,
Comfey,Fairy,
Solgaleo,Steel,Psychic
Lunala,Ghost,Psychic
Necrozma,Psychic,
Necrozma (Dusk Mane),Psychic,Steel
Necrozma (Dawn Wings),Psychic,Ghost
Necrozma (Ultra),Psychic,Dragon
Minior,Rock,Flying
Mimikyu,Fairy,Ghost
Togedemaru,Electric,Steel
Magikarp,Water,
Gyarados,Water,Flying
Tapu Koko,Electric,Fairy
Tapu Lele,Psychic,Fairy
Tapu Bulu,Grass,Fairy
Tapu Fini,Water,Fairy
Cosmog,Psychic,
Cosmoem,Psychic,
Zygarde (Crested),Dragon,Ground
Zygarde (Complete),Dragon,Ground
Zeraora,Electric,
Meltan,Steel,
Melmetal,Steel
Grookey,Grass,
Thwackey,Grass,
Rillaboom,Grass,
Scorbunny,Fire,
Raboot,Fire,
Cinderace,Fire,
Sobble,Water,
Drizzile,Water,
Inteleon,Water,
Skwovet,Normal,
Greedent,Normal,
Rookidee,Flying,Normal
Corvisquire,Flying,Normal
Corviknight,Flying,Steel
Blipbug,Bug,
Dottler,Bug,Psychic
Orbeetle,Bug,Psychic
Nickit,Dark,
Thievul,Dark,
Gossifleur,Grass,
Eldegoss,Grass,
Wooloo,Normal,
Dubwool,Normal,
Chewtle,Water,
Drednaw,Water,Rock
Yamper,Electric,
Boltund,Electric,
Rolycoly,Rock,
Carkol,Rock,Fire
Coalossal,Rock,Fire
Silicobra,Ground,
Sandaconda,Ground,
Cufant,Steel,
Copperajah,Steel,
Arrokuda,Water,
Barraskewda,Water,
Toxel,Electric,Poison
Toxtricity,Electric,Poison
Snom,Ice,Bug
Frosmoth,Ice,Bug
Sinistea,Ghost,
Polteageist,Ghost,
Hatenna,Psychic,
Hattrem,Psychic,
Hatterene,Psychic,Fairy
Impidimp,Dark,Fairy
Morgrem,Dark,Fairy
Grimmsnarl,Dark,Fairy
Buneary,Normal,
Lopunny,Normal,Fighting
Mimikyu,Fairy,Ghost
Drakloak,Dragon,Ghost
Dragapult,Dragon,Ghost
Zamazenta,Fighting,
Zacian,Fairy,Steel
Eternatus,Poison,Dragon
Kubfu,Fighting,
Urshifu (Single Strike),Fighting,Dark
Urshifu (Rapid Strike),Fighting,Water
Zarude,Dark,Grass
Regieleki,Electric,
Regidrago,Dragon,
Calyrex,Psychic,
Calyrex (Ice Rider),Psychic,Ice
Calyrex (Shadow Rider),Psychic,Ghost
Zygarde,Dragon,Ground
